id,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF
1,1,0,0,15,-5,0.955,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,300,-300,0.998,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0,0,50,-13,0.99,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
4,8,0,0,300,-300,1.015,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
5,10,450,0,200,-147,1.05,100,1,550,0,0,0,0,0,0,0,0,0,0,0,0
6,12,85,0,120,-35,0.99,100,1,185,0,0,0,0,0,0,0,0,0,0,0,0
7,15,0,0,30,-10,0.97,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
8,18,0,0,50,-16,0.973,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
9,19,0,0,24,-8,0.962,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
10,24,0,0,300,-300,0.992,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
11,25,220,0,140,-47,1.05,100,1,320,0,0,0,0,0,0,0,0,0,0,0,0
12,26,314,0,1000,-1000,1.015,100,1,414,0,0,0,0,0,0,0,0,0,0,0,0
13,27,0,0,300,-300,0.968,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
14,31,7,0,300,-300,0.967,100,1,107,0,0,0,0,0,0,0,0,0,0,0,0
15,32,0,0,42,-14,0.963,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
16,34,0,0,24,-8,0.984,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
17,36,0,0,24,-8,0.98,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
18,40,0,0,300,-300,0.97,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
19,42,0,0,300,-300,0.985,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
20,46,19,0,100,-100,1.005,100,1,119,0,0,0,0,0,0,0,0,0,0,0,0
21,49,204,0,210,-85,1.025,100,1,304,0,0,0,0,0,0,0,0,0,0,0,0
22,54,48,0,300,-300,0.955,100,1,148,0,0,0,0,0,0,0,0,0,0,0,0
23,55,0,0,23,-8,0.952,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
24,56,0,0,15,-8,0.954,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
25,59,155,0,180,-60,0.985,100,1,255,0,0,0,0,0,0,0,0,0,0,0,0
26,61,160,0,300,-100,0.995,100,1,260,0,0,0,0,0,0,0,0,0,0,0,0
27,62,0,0,20,-20,0.998,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
28,65,391,0,200,-67,1.005,100,1,491,0,0,0,0,0,0,0,0,0,0,0,0
29,66,392,0,200,-67,1.05,100,1,492,0,0,0,0,0,0,0,0,0,0,0,0
30,69,516.4,0,300,-300,1.035,100,1,805.2,0,0,0,0,0,0,0,0,0,0,0,0
31,70,0,0,32,-10,0.984,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
32,72,0,0,100,-100,0.98,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
33,73,0,0,100,-100,0.991,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
34,74,0,0,9,-6,0.958,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
35,76,0,0,23,-8,0.943,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
36,77,0,0,70,-20,1.006,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
37,80,477,0,280,-165,1.04,100,1,577,0,0,0,0,0,0,0,0,0,0,0,0
38,85,0,0,23,-8,0.985,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
39,87,4,0,1000,-100,1.015,100,1,104,0,0,0,0,0,0,0,0,0,0,0,0
40,89,607,0,300,-210,1.005,100,1,707,0,0,0,0,0,0,0,0,0,0,0,0
41,90,0,0,300,-300,0.985,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
42,91,0,0,100,-100,0.98,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
43,92,0,0,9,-3,0.99,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
44,99,0,0,100,-100,1.01,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
45,100,252,0,155,-50,1.017,100,1,352,0,0,0,0,0,0,0,0,0,0,0,0
46,103,40,0,40,-15,1.01,100,1,140,0,0,0,0,0,0,0,0,0,0,0,0
47,104,0,0,23,-8,0.971,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
48,105,0,0,23,-8,0.965,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
49,107,0,0,200,-200,0.952,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
50,110,0,0,23,-8,0.973,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
51,111,36,0,1000,-100,0.98,100,1,136,0,0,0,0,0,0,0,0,0,0,0,0
52,112,0,0,1000,-100,0.975,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
53,113,0,0,200,-100,0.993,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
54,116,0,0,1000,-1000,1.005,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
